Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
22-Feb-02,Brando,Brando,Jumbo,Envigado,154752.00,23590.00,0.00,,,,,,,15990.00,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,51328.00,,,,,,,,,,,,,,,,,,,,,5014.00,,,,,,,,,,,,,,,,27370.00,,,9180.00,12890.00,,,,,,,,,,131162.00
22-Feb-06,Vane,Vane,Jumbo,Envigado,115072.00,0.00,0.00,,,,,,71650.00,,,,,,,,,,,,,,,,,,,,,,1948.00,,1975.00,,,,3869.00,7792.00,,,,,,,,,,,,,,,,,,,13550.00,10500.00,24050.00,,,,,,,,,,47600.00,,,,,,,,,,,,,,13280.00,22990.00,,,,,115072.00
22-Feb-08,Brando,Brando,Jumbo,Envigado,114750.00,23590.00,0.00,,,,,,,12990.00,23590.00,,,,,,,,,,,20990.00,,,,4137.00,2576.00,,,,,,3688.00,,,,,10401.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,25894.00,,,12780.00,,,,,,,,,,,91160.00
22-Feb-14,Brando,Brando,Jumbo,Envigado,170450.00,23590.00,0.00,,,29849.00,,,,,23590.00,,,,3582.00,9672.00,,,,,,,,,,4193.00,,,,8993.00,,,,,,,3414.00,29854.00,,,,,,6390.00,,3094.00,,1352.00,1275.00,671.00,,,1268.00,,,,,,14050.00,,,,,,,,,,20267.00,,,,,,30170.00,,,,25780.00,23590.00,,,,,,,,,146860.00
22-Feb-17,Brando,Brando,Jumbo,Envigado,89711.00,0.00,0.00,,,,,,,12990.00,,,1478.00,,,,,,,,,20990.00,,,,,,,5475.00,,1568.00,,,,,,3414.00,32925.00,,,,,,,,1291.00,,,1581.00,,,,,,,,13550.00,,16422.00,,,,,,,,,,,,,,,,24380.00,,,,,,,,,,,,,,89711.00
22-Feb-19,Vane,Vane,DeUno,Envigado,61490.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,26980.00,,,,,,,,,,,,,,,,,2590.00,,,61490.00
22-Feb-19,Vane,Vane,Jumbo,Envigado,42163.00,0.00,0.00,,,,,,,,,,,1641.00,,,,4990.00,,,,,,,,,,,,,,,1716.00,,,,,8347.00,,,,,,,,,,,,,,,,,,,,15900.00,15900.00,,,,,,,,,,,,,,,,,,,,,,,,11270.00,,,,,,42163.00
22-Feb-24,Brando,Brando,Jumbo,Envigado,223000.00,51365.00,0.00,,,,,,51959.00,12990.00,24390.00,,2463.00,3901.00,,,,,,,,,,,,,,,5475.00,,2233.00,2714.00,,,,,4063.00,20849.00,,,,,,,861.00,3020.00,,3906.00,,,,,,1536.00,4370.00,,13500.00,,27193.00,,,,,,,,,,21683.00,,,,,,30370.00,,,18380.00,28780.00,,,,,,,,,,171635.00
22-Mar-01,Brando,Brando,Jumbo,Envigado,112550.00,0.00,0.00,,,,,,,12990.00,24390.00,,,2367.00,,,,,,,,,,,6891.00,,,,6023.00,5426.00,,,2735.00,5240.00,,,3750.00,32432.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,11390.00,,,,14390.00,,,,,,,,,,112550.00
22-Mar-01,Brando,Brando,MercadoLibre,Colombia,162000.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162000.00
