Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
22-Jan-27,Brando,Brando,Jumbo,Envigado,"115,514",0,0,,,,,,,,"23,950",,,,,,,,,,,,,,,,,,,,,,,,,,,"41,811",,,,,,,,,,,,,,,,,,,,,"1,063",,,,,,,,,,,,,,,,"27,880",,,"8,190","12,890",,,,,,,,0,,"115,514"
22-Jan-29,Vane,Vane,Jumbo,Envigado,"130,951",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000",,,,,,,,,,,,,,,,,,,,,"3,000",,,,,,,,,,"30,000",,,,,,,,,,,,,,,,,,,,"130,951"
22-Feb-02,Brando,Brando,Jumbo,Envigado,"154,752","23,590",0,,,,,,,"15,990","23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"51,328",,,,,,,,,,,,,,,,,,,,,"5,014",,,,,,,,,,,,,,,,"27,370",,,"9,180","12,890",,,,,,,,,,"131,162"
22-Feb-06,Vane,Vane,Jumbo,Envigado,"115,072",0,0,,,,,,"71,650",,,,,,,,,,,,,,,,,,,,,,"1,948",,"1,975",,,,"3,869","7,792",,,,,,,,,,,,,,,,,,,"13,550","10,500","24,050",,,,,,,,,,"47,600",,,,,,,,,,,,,,"13,280","22,990",,,,,"115,072"
22-Feb-08,Brando,Brando,Jumbo,Envigado,"114,750","23,590",0,,,,,,,"12,990","23,590",,,,,,,,,,,"20,990",,,,"4,137","2,576",,,,,,"3,688",,,,,"10,401",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"25,894",,,"12,780",,,,,,,,,,,"91,160"
22-Feb-14,Brando,Brando,Jumbo,Envigado,"170,450","23,590",0,,,"29,849",,,,,"23,590",,,,"3,582","9,672",,,,,,,,,,"4,193",,,,"8,993",,,,,,,"3,414","29,854",,,,,,"6,390",,"3,094",,"1,352","1,275",671,,,"1,268",,,,,,"14,050",,,,,,,,,,"20,267",,,,,,"30,170",,,,"25,780","23,590",,,,,,,,,"146,860"
22-Feb-17,Brando,Brando,Jumbo,Envigado,"89,711",0,0,,,,,,,"12,990",,,"1,478",,,,,,,,,"20,990",,,,,,,"5,475",,"1,568",,,,,,"3,414","32,925",,,,,,,,"1,291",,,"1,581",,,,,,,,"13,550",,"16,422",,,,,,,,,,,,,,,,"24,380",,,,,,,,,,,,,,"89,711"
22-Feb-19,Vane,Vane,DeUno,Envigado,"61,490",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"26,980",,,,,,,,,,,,,,,,,"2,590",,,"61,490"
22-Feb-19,Vane,Vane,Jumbo,Envigado,"42,163",0,0,,,,,,,,,,,"1,641",,,,"4,990",,,,,,,,,,,,,,,"1,716",,,,,"8,347",,,,,,,,,,,,,,,,,,,,"15,900","15,900",,,,,,,,,,,,,,,,,,,,,,,,"11,270",,,,,,"42,163"
22-Feb-24,Brando,Brando,Jumbo,Envigado,"223,000","51,365",0,,,,,,"51,959","12,990","24,390",,"2,463","3,901",,,,,,,,,,,,,,,"5,475",,"2,233","2,714",,,,,"4,063","20,849",,,,,,,861,"3,020",,"3,906",,,,,,"1,536","4,370",,"13,500",,"27,193",,,,,,,,,,"21,683",,,,,,"30,370",,,"18,380","28,780",,,,,,,,,,"171,635"
22-Mar-01,Brando,Brando,Jumbo,Envigado,"112,550",0,0,,,,,,,"12,990","24,390",,,"2,367",,,,,,,,,,,"6,891",,,,"6,023","5,426",,,"2,735","5,240",,,"3,750","32,432",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"11,390",,,,"14,390",,,,,,,,,,"112,550"
22-Mar-01,Brando,Brando,MercadoLibre,Colombia,"162,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"162,000"
22-Mar-06,Brando,Brando,Jumbo,Envigado,"273,562","24,390",0,,,"76,581",,,,,"24,390",,,,,,,,,,,"22,990",,,,,,,"8,103",,,,"1,813",,,,"9,968","42,874",,,,,,"6,990",882,"4,455",,"4,101",,"1,281",,,"2,009",,,,,,"19,718",,,,,,,,,,"43,890",,,,,,"41,760",,,"18,380","14,390",,,,,,,,,,"249,172"
22-Mar-11,Vane,Vane,Jumbo,Envigado,"144,286",0,0,,,,,,"45,130","7,790",,,,"5,541",,,,,,,,,,,,,,,,,"3,990",,"2,663",,,,,"12,194",,,,"12,390",,,,"3,229",,,,976,,,,,,,,,"16,595",,,,,,,,,,"32,344",,,,,,,,,,,"25,390",,,"24,270",,,,,,"144,286"
22-Mar-15,Brando,Brando,Jumbo,Envigado,"181,162","24,390",0,,,,,,,"12,990","24,390",,"1,576",,"2,985",,,,,,,"22,990",,,"2,877",,,,,"5,814","1,853",,"3,150",,,,"11,205","52,450",,,,,,,,"4,694",,"2,316",,,,,,,,,,,"7,010",,,,,,,,,,,,,,,,"33,570",,,"9,190","28,780",,,,,,,,,,"156,772"
22-Mar-19,Vane,Vane,Jumbo,Envigado,"101,432",0,0,,,,,,"51,852",,,,,,,,,"7,990",,,,,,,,,,,,,,,"2,525",,,,,"10,515",,,,,,"6,990","2,768","2,013",,,,"1,756",,,,,,,"13,900",,"27,427",,,,,,,,,,,,,,,,,,,,,,,,"27,560",,,,,,"101,432"
22-Mar-20,Vane,Vane,Jumbo,Envigado,"147,490",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"22,990",,,,,"147,490"
22-Mar-21,Brando,Brando,Jumbo,Envigado,"145,070","24,590",0,,,,,,,"28,980","24,590",,,,,,,,,,,"22,990","4,890",,,"7,899",,,,,,,,,,,"4,005","39,784",,,,,,,,"2,227",,"1,239",,,,,,,,,,,"3,466",,,,,,,,,,,,,,,,"29,070",,,"9,190",,,,,,,,,,,"120,480"
22-Mar-23,Brando,Brando,Jumbo,Envigado,"114,365","8,980",,,,"60,425",,,,,"8,980",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"2,133",,738,"1,769",,,"1,454",,,,"1,755",,,,,,"7,849",,,,,,,,,,"27,606",,,,,,"8,590",,,,"28,780",,,,"7,590",,,,,,"105,385"
22-Mar-26,los_dos,Brando,SuperSabaneta,Sabaneta,"41,778",0,0,,,,,,,,,,,"2,050","3,383",,,,,,,,,,,"2,400","2,100",,,,"2,045",,,,,,"12,145","24,123",,,,,,,,,"1,771",,,,,,,,,,"2,231",,"4,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,"41,778"
22-Mar-27,Vane,Vane,Jumbo,Envigado,"95,225",0,0,,,,,,,,,,,"2,828",,,,,,,,,,,,,,,,,,,,,,,,"2,828",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"24,760",,,"9,590",,,,,"7,280","14,990",,"6,990","6,990",,"95,225"
22-Mar-29,Brando,Brando,Jumbo,Envigado,"100,436","33,570",0,,,,,,,"12,990","33,570",,,,,,,,,,,"22,990",,"4,655",,,"5,033",,"4,928",,,,"2,350",,,,,"39,956",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,"14,390",,,,,,,,,,"66,866"
22-Apr-04,Vane,Vane,Jumbo,Envigado,"146,384",0,0,,,,,,"104,139",,,,,"2,622","6,368",,,,,,,,,,"5,272",,,,,,,,"2,818",,,,"6,148","23,228",,,,,,,410,"2,599",,,,,,,,"4,988",,,"2,257","5,900","16,154",,,,,,,,,,"62,513",,,,,,,,,"9,590",,,,,"21,980",,,,,,"146,384"
22-Apr-04,Vane,Vane,Jumbo,Envigado,"52,623",0,"47,180",,,,,,,,,,,"2,657",,,,,,,,,,,,,,,,,,,,,,,,"2,657",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,"7,990",,,,,,"5,443"
22-Apr-06,Brando,Brando,Jumbo,Envigado,"194,018","29,080",0,,,,,,,"28,980","29,080",,"1,182","2,860",,,,,,,,,,,,,,,,"5,426",,,,,,,"11,309","20,777",,,,,,,,"1,734",,"3,452",,,,,,,,,"3,875",,"9,061",,,,,,,,,,,,,,,,"24,770",,,,"14,390",,,,,,,,,,"164,938"
22-Apr-10,Vane,Vane,Euro,Envigado,"42,146",0,0,,,,,,,,,,,"2,400",,,,,,,,,,,,,,,,,,496,,,"2,400",,,"5,296",,,,,,,,,,,,,,,,,,,"11,733","6,500","18,233",,,,,,,,,,"9,470",,,,,,,,,"7,110",,,,,,,,,53,,"42,146"
22-Apr-17,los_dos,Vane,Euro,Envigado,"181,776",0,0,,,,,,,"15,220","4,920",,,,,"12,337",,,,,,"22,900",,,,,,,,,,,,,,"9,570",,"44,807",,,,,,"6,700",904,,,,,"1,210","1,739",,"1,931",,,"1,192",,,"13,676",,,,,,,,,,,,,,,,"11,530",,,"7,110","25,460",,,,,,,,,,"181,776"
22-Apr-17,Vane,Vane,DeUno,Envigado,"24,667",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"20,200",,,,,,,,,,,,,,,,,,,,"24,667"
22-Apr-19,Brando,Brando,Euro,Envigado,"107,021","33,570",0,,,,,,,"12,990","33,570",,,,,,,,,,,,,,,,"5,650",,,,,,"3,767",,,,"12,684","22,101",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"21,180",,,"7,190",,,,,,,,,,,"73,451"
22-Apr-26,Vane,Vane,Euro,Envigado,"74,635",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,185",,"2,660",,,,"4,560","9,405",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"29,060",,,"7,190",,,,,,,,,,,"74,635"
22-Apr-28,Brando,Brando,Jumbo,Envigado,"175,544","56,560",0,,,"30,911",,,,"12,990","33,570",,,,,,,,,,,,,,,,,"24,830",,,,,"1,471",,,,,"26,301",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"27,073",,,,,,,,,,"23,180","25,390",,,,,,,212,,"118,984"
22-May-04,Brando,Brando,Jumbo,Envigado,"187,106","56,560",0,,,"33,488",,,,"12,990","33,570",,,,"8,458",,,,,,,,,,,,,,"6,680",,,,,,,,,"15,138",,,,,,,800,"2,170",,,"1,157","1,037",,,"1,435",,,,,,"6,599",,,,,,,,,,"26,698",,,,,,"27,770",,,,"23,180",,,,,,,,,,"130,546"
